PartitionKey,RowKey,CreatedOn,Platform,RewardId,Carrier,DeviceCarrier
"20220412_14_1","0aa38eac-149f-462b-961d-d73ea08cef69","2022-04-12T14:01:58.9710432Z","ios","3871","T-Mobile","t-mobile"
"20220412_14_1","018e73ac-2272-4422-ba42-d19c18fc6f67","2022-04-12T14:01:59.0019218Z","ios","3868","T-Mobile","t-mobile"
"20220412_14_1","d9aec4c8-231f-4eb5-bd8a-fb3504a3f488","2022-04-12T14:01:59.0189368Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","bd7b212d-8879-4393-919f-5ef5b02c1435","2022-04-12T14:01:59.2361796Z","ios","3870","T-Mobile","t-mobile"
"20220412_14_1","e6588887-bc0c-480a-bfea-b1013d3d242f","2022-04-12T14:01:59.204903Z","android","3868","T-Mobile","t-mobile"
"20220412_14_1","0fa6869c-ec74-4b28-9b1a-23c978167c71","2022-04-12T14:01:59.4084265Z","ios","3868","T-Mobile","t-mobile"
"20220412_14_1","3219c16a-00bc-42e4-9504-cb4d55fb562b","2022-04-12T14:01:59.37213Z","ios","3872","T-Mobile","t-mobile"
"20220412_14_1","19c1f436-428d-40bc-bb80-391c8a253f2c","2022-04-12T14:01:59.4827831Z","ios","3872","T-Mobile","t-mobile"
"20220412_14_1","17966688-d6b4-437a-92ce-db652a01b2e1","2022-04-12T14:01:59.5671067Z","android","3870","T-Mobile","t-mobile"
"20220412_14_1","694a7a1b-8964-488b-8b60-24f9f9541de0","2022-04-12T14:01:59.5533201Z","ios","3868","T-Mobile","t-mobile"
"20220412_14_1","51e850b3-b642-42ec-83bf-796b79145b24","2022-04-12T14:01:59.6188089Z","ios","3870","T-Mobile","t-mobile"
"20220412_14_1","270348f9-2b78-4894-86d0-bbc382dc4752","2022-04-12T14:01:59.5994787Z","ios","3868","T-Mobile","t-mobile"
"20220412_14_1","f0e9c1b7-3d3c-4fee-9a3c-06e387fa2d32","2022-04-12T14:01:59.7037044Z","android","3870","XP","t-mobile"
