PartitionKey,RowKey,CreatedOn,Platform,RewardId,Carrier,DeviceCarrier
"20220412_14_1","c48f354e-bbfb-424c-8af8-81923ab92b50","2022-04-12T14:01:59.2706727Z","ios","3670","T-Mobile","t-mobile"
"20220412_14_1","59c73af0-c400-49d5-a0e6-a5d005f91010","2022-04-12T14:01:59.6751243Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","c445aac2-4fab-42de-9872-66bd79e82dd5","2022-04-12T14:01:59.6084329Z","ios","3869","XP","t-mobile"
"20220412_14_1","2222061b-f207-4388-acc7-3408c17f5a62","2022-04-12T14:01:59.766484Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","e72b7a55-532b-4813-9ead-a626a0d0ad80","2022-04-12T14:02:00.082254Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","a8e15cc2-f1ba-4dcd-9a54-32a854465219","2022-04-12T14:02:01.1709147Z","ios","3869","XP","t-mobile"
"20220412_14_1","0b21466b-1dc3-4570-b3d7-f3911a00f109","2022-04-12T14:02:01.7020776Z","ios","3869","XP","t-mobile"
"20220412_14_1","65540a97-4a52-403a-a930-357a60344bf9","2022-04-12T14:02:01.8837327Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","aa24cc21-2ada-43f9-bc06-c1110e4178f5","2022-04-12T14:02:02.1393244Z","android","3870","Metro","Metro"
"20220412_14_1","f3fe59c7-20a9-47f2-93bc-a412f9dd31ff","2022-04-12T14:02:03.6293149Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","b3e83d76-d876-48aa-a67b-25f1f2a55d94","2022-04-12T14:02:04.0234577Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","6379ba4b-109a-4124-b3fc-0995de59f932","2022-04-12T14:02:04.2178219Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","108efb21-582e-4b45-b942-d6503857d129","2022-04-12T14:02:05.972671Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","8e97a8ab-7606-4f1e-b1bb-a16859ee86cf","2022-04-12T14:02:06.3431659Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","c6e37373-09fa-4e1b-8d60-978a7bb7b552","2022-04-12T14:02:07.3761312Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","3a073874-b96a-46a8-9a07-8fe22b80901f","2022-04-12T14:02:07.3880665Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","064557ce-a887-4835-9bd9-090c7938c241","2022-04-12T14:02:07.4208785Z","ios","3870","T-Mobile","t-mobile"
"20220412_14_1","08095fea-1933-41f9-878c-c9786d2388fb","2022-04-12T14:02:07.9109656Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","4e7d76fa-3d5b-4324-983a-487814be5fc0","2022-04-12T14:02:07.964247Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","bc2c6ea5-2178-4c2b-b8ab-655d96566933","2022-04-12T14:02:08.8069907Z","ios","3869","Sprint","sprint"
"20220412_14_1","00a524a2-bfe8-4afe-a2e3-a4d2bab72ba0","2022-04-12T14:02:10.2889365Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","ffdf5410-d017-4e22-b4f5-490e74835210","2022-04-12T14:02:10.3728466Z","ios","3870","T-Mobile","t-mobile"
"20220412_14_1","5899aac6-c8a7-4983-9dbc-1d1f7c628814","2022-04-12T14:02:11.8142531Z","ios","3869","T-Mobile","verizon"
"20220412_14_1","307d585e-4992-4105-bacf-2340b668b536","2022-04-12T14:02:11.8512649Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","80fd10f6-79d9-48f3-af54-3366eb9df642","2022-04-12T14:02:12.3665044Z","ios","3865","T-Mobile","t-mobile"
"20220412_14_1","a8b96a39-fda5-47e0-990a-8dbeccd90218","2022-04-12T14:02:12.4047782Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","ea4e23a9-bdb1-43b1-b69e-26dc33e8aa7d","2022-04-12T14:02:12.9497201Z","ios","3869","T-Mobile","t-mobile"
"20220412_14_1","09000c69-0aa6-487c-bd35-6ef29efe5c3a","2022-04-12T14:02:12.9141314Z","ios","3865","XP","unknown"
"20220412_14_1","9916f127-62e0-43d5-b17e-f45909f77a97","2022-04-12T14:02:13.5104477Z","android","3869","T-Mobile","t-mobile"
"20220412_14_1","7dd287da-17c8-45d1-a009-5ae31db335b1","2022-04-12T14:02:14.1656244Z","ios","3670","T-Mobile","t-mobile"
"20220412_14_1","e7345b3d-6025-4d2e-938a-415921d57521","2022-04-12T14:02:14.0372146Z","ios","3870","T-Mobile","t-mobile"
"20220412_14_1","0b7081e5-429d-4aae-8c0a-4242212b1d5e","2022-04-12T14:02:14.0544435Z","android","3870","XP","t-mobile"
